Common Name,Scientific Name
Barn Swallow,Hirundo rustica
White-throated Swallow,Hirundo albigularis
Wire-tailed Swallow,Hirundo smithii
Western House-Martin,Delichon urbicum
Greater Striped Swallow,Cecropis cucullata
European Red-rumped Swallow,Cecropis rufula
Lesser Striped Swallow,Cecropis abyssinica
Rufous-chested Swallow,Cecropis semirufa
Mosque Swallow,Cecropis senegalensis
South African Swallow,Petrochelidon spilodera
Sombre Greenbul,Andropadus importunus
Yellow-bellied Greenbul,Chlorocichla flaviventris
Yellow-streaked Greenbul,Phyllastrephus flavostriatus
Terrestrial Brownbul,Phyllastrephus terrestris
Common Bulbul,Pycnonotus barbatus
Black-fronted Bulbul,Pycnonotus nigricans
Cape Bulbul,Pycnonotus capensis
Wood Warbler,Phylloscopus sibilatrix
Willow Warbler,Phylloscopus trochilus
Yellow-throated Woodland-Warbler,Phylloscopus ruficapilla
Eurasian Blackcap,Sylvia atricapilla
Garden Warbler,Sylvia borin
Bush Blackcap,Sylvia nigricapillus
Layard's Warbler,Curruca layardi
Chestnut-vented Warbler,Curruca subcoerulea
Lesser Whitethroat,Curruca curruca
Greater Whitethroat,Curruca communis
Orange River White-eye,Zosterops pallidus
Cape White-eye,Zosterops virens
Southern Yellow White-eye,Zosterops anderssoni
Arrow-marked Babbler,Turdoides jardineii
Southern Pied-Babbler,Turdoides bicolor
Red-billed Oxpecker,Buphagus erythroryncha
Yellow-billed Oxpecker,Buphagus africanus
European Starling,Sturnus vulgaris
Wattled Starling,Creatophora cinerea
Common Myna,Acridotheres tristis
Violet-backed Starling,Cinnyricinclus leucogaster
Pale-winged Starling,Onychognathus nabouroup
Red-winged Starling,Onychognathus morio
Black-bellied Starling,Notopholia corusca
Burchell's Starling,Lamprotornis australis
Meves's Starling,Lamprotornis mevesii
African Pied Starling,Lamprotornis bicolor
Greater Blue-eared Starling,Lamprotornis chalybaeus
Cape Starling,Lamprotornis nitens
Boulder Chat,Pinarornis plumosus
Spotted Ground-Thrush,Geokichla guttata
Orange Ground-Thrush,Geokichla gurneyi
Groundscraper Thrush,Turdus litsitsirupa
Kurrichane Thrush,Turdus libonyana
Olive Thrush,Turdus olivaceus
Karoo Thrush,Turdus smithi
African Dusky Flycatcher,Muscicapa adusta
Spotted Flycatcher,Muscicapa striata
Marico Flycatcher,Bradornis mariquensis
Pale Flycatcher,Agricola pallidus
Chat Flycatcher,Agricola infuscatus
Gray Tit-Flycatcher,Fraseria plumbea
Ashy Flycatcher,Fraseria caerulescens
Fiscal Flycatcher,Sigelus silens
Southern Black-Flycatcher,Melaenornis pammelaina
Karoo Scrub-Robin,Tychaedon coryphoeus
Brown Scrub-Robin,Tychaedon signata
Bearded Scrub-Robin,Tychaedon quadrivirgata
Rufous-tailed Scrub-Robin,Cercotrichas galactotes
Kalahari Scrub-Robin,Cercotrichas paena
White-browed Scrub-Robin,Cercotrichas leucophrys
Cape Robin-Chat,Dessonornis caffer
White-throated Robin-Chat,Dessonornis humeralis
White-browed Robin-Chat,Cossypha heuglini
Red-capped Robin-Chat,Cossypha natalensis
Chorister Robin-Chat,Cossypha dichroa
Collared Palm-Thrush,Cichladusa arquata
White-starred Robin,Pogonocichla stellata
Thrush Nightingale,Luscinia luscinia
European Pied Flycatcher,Ficedula hypoleuca
Collared Flycatcher,Ficedula albicollis
Common Redstart,Phoenicurus phoenicurus
Short-toed Rock-Thrush,Monticola brevipes
Sentinel Rock-Thrush,Monticola explorator
Cape Rock-Thrush,Monticola rupestris
Whinchat,Saxicola rubetra
African Stonechat,Saxicola torquatus
Buff-streaked Chat,Campicoloides bifasciatus
Sickle-winged Chat,Emarginata sinuata
Karoo Chat,Emarginata schlegelii
Tractrac Chat,Emarginata tractrac
Mocking Cliff-Chat,Thamnolaea cinnamomeiventris
Southern Anteater-Chat,Myrmecocichla formicivora
Mountain Chat,Myrmecocichla monticola
Arnot's Chat,Myrmecocichla arnotti
Northern Wheatear,Oenanthe oenanthe
Capped Wheatear,Oenanthe pileata
Familiar Chat,Oenanthe familiaris
Gurney's Sugarbird,Promerops gurneyi
Cape Sugarbird,Promerops cafer
Plain-backed Sunbird,Anthreptes reichenowi
Collared Sunbird,Hedydipna collaris
Orange-breasted Sunbird,Anthobaphes violacea
Olive Sunbird,Cyanomitra olivacea
Mouse-colored Sunbird,Cyanomitra veroxii
Amethyst Sunbird,Chalcomitra amethystina
Scarlet-chested Sunbird,Chalcomitra senegalensis
Malachite Sunbird,Nectarinia famosa
Southern Double-collared Sunbird,Cinnyris chalybeus
Neergaard's Sunbird,Cinnyris neergaardi
Greater Double-collared Sunbird,Cinnyris afer
Marico Sunbird,Cinnyris mariquensis
Purple-banded Sunbird,Cinnyris bifasciatus
White-bellied Sunbird,Cinnyris talatala
Dusky Sunbird,Cinnyris fuscus
Red-billed Buffalo-Weaver,Bubalornis niger
Scaly Weaver,Sporopipes squamifrons
White-browed Sparrow-Weaver,Plocepasser mahali
Sociable Weaver,Philetairus socius
Red-headed Weaver,Anaplectes rubriceps
Spectacled Weaver,Ploceus ocularis
Cape Weaver,Ploceus capensis
African Golden-Weaver,Ploceus subaureus
Holub's Golden-Weaver,Ploceus xanthops
Southern Brown-throated Weaver,Ploceus xanthopterus
Lesser Masked-Weaver,Ploceus intermedius
Southern Masked-Weaver,Ploceus velatus
Village Weaver,Ploceus cucullatus
Chestnut Weaver,Ploceus rubiginosus
Dark-backed Weaver,Ploceus bicolor
Red-headed Quelea,Quelea erythrops
Red-billed Quelea,Quelea quelea
Southern Red Bishop,Euplectes orix
Yellow-crowned Bishop,Euplectes afer
Yellow Bishop,Euplectes capensis
White-winged Widowbird,Euplectes albonotatus
Red-collared Widowbird,Euplectes ardens
Fan-tailed Widowbird,Euplectes axillaris
Long-tailed Widowbird,Euplectes progne
Grosbeak Weaver,Amblyospiza albifrons
Zebra Finch,Taeniopygia guttata
Bronze Mannikin,Spermestes cucullata
Magpie Mannikin,Spermestes fringilloides
Black-and-white Mannikin,Spermestes bicolor
Java Sparrow,Padda oryzivora
Scaly-breasted Munia,Lonchura punctulata
Swee Waxbill,Coccopygia melanotis
Green-backed Twinspot,Mandingoa nitidula
Black-faced Waxbill,Brunhilda erythronotos
Black-tailed Waxbill,Glaucestrilda perreini
Common Waxbill,Estrilda astrild
Quailfinch,Ortygospiza atricollis
Cut-throat,Amadina fasciata
Red-headed Finch,Amadina erythrocephala
Zebra Waxbill,Amandava subflava
Violet-eared Waxbill,Granatina granatina
Southern Cordonbleu,Uraeginthus angolensis
Green-winged Pytilia,Pytilia melba
Orange-winged Pytilia,Pytilia afra
Pink-throated Twinspot,Hypargos margaritatus
Red-billed Firefinch,Lagonosticta senegala
African Firefinch,Lagonosticta rubricata
Jameson's Firefinch,Lagonosticta rhodopareia
Pin-tailed Whydah,Vidua macroura
Eastern Paradise-Whydah,Vidua paradisaea
Shaft-tailed Whydah,Vidua regia
Village Indigobird,Vidua chalybeata
Dusky Indigobird,Vidua funerea
Purple Indigobird,Vidua purpurascens
Parasitic Weaver,Anomalospiza imberbis
House Sparrow,Passer domesticus
Great Rufous Sparrow,Passer motitensis
Cape Sparrow,Passer melanurus
Southern Gray-headed Sparrow,Passer diffusus
Yellow-throated Bush Sparrow,Gymnoris superciliaris
Cape Wagtail,Motacilla capensis
Mountain Wagtail,Motacilla clara
Gray Wagtail,Motacilla cinerea
Western Yellow Wagtail,Motacilla flava
Citrine Wagtail,Motacilla citreola
African Pied Wagtail,Motacilla aguimp
White Wagtail,Motacilla alba
African Pipit,Anthus cinnamomeus
Mountain Pipit,Anthus hoeschi
Nicholson's Pipit,Anthus nicholsoni
Plain-backed Pipit,Anthus leucophrys
Buffy Pipit,Anthus vaalensis
Striped Pipit,Anthus lineiventris
Yellow-tufted Pipit,Anthus crenatus
Tree Pipit,Anthus trivialis
Red-throated Pipit,Anthus cervinus
Short-tailed Pipit,Anthus brachyurus
Bush Pipit,Anthus caffer
Golden Pipit,Tmetothylacus tenellus
Yellow-breasted Pipit,Hemimacronyx chloris
Orange-throated Longclaw,Macronyx capensis
Yellow-throated Longclaw,Macronyx croceus
Rosy-throated Longclaw,Macronyx ameliae
Common Chaffinch,Fringilla coelebs
Yellow-fronted Canary,Crithagra mozambica
Forest Canary,Crithagra scotops
Black-throated Canary,Crithagra atrogularis
Lemon-breasted Seedeater,Crithagra citrinipectus
Brimstone Canary,Crithagra sulphurata
Yellow Canary,Crithagra flaviventris
White-throated Canary,Crithagra albogularis
Protea Canary,Crithagra leucoptera
Streaky-headed Seedeater,Crithagra gularis
Cape Siskin,Crithagra totta
Drakensberg Siskin,Crithagra symonsi
Cape Canary,Serinus canicollis
Black-headed Canary,Serinus alario
Golden-breasted Bunting,Emberiza flaviventris
Cape Bunting,Emberiza capensis
Lark-like Bunting,Emberiza impetuani
Cinnamon-breasted Bunting,Emberiza tahapisi
