common_name	scientific_name	afrikaans_name	image	audio	family	size	habitat	colors	common_name	scientific_name	afrikaans_name	image	audio	family	size	habitat	colors
Rock Martin	Ptyonoprogne fuligula	Kransswael	https://birda.twic.pics/species/3f2cb8c9-ea52-4847-8aa5-172d4bfb7a3a/reference_images/Rock_Martin.jpg	https://xeno-canto.org/sounds/uploaded/ISEVSYKZZW/XC860740-19-2024-01-01_Hirondelle-isabelline.mp3	Martins	Small	Rocky	['Brown', 'White']	Rock Martin	Ptyonoprogne fuligula	Kransswael	https://birda.twic.pics/species/3f2cb8c9-ea52-4847-8aa5-172d4bfb7a3a/reference_images/Rock_Martin.jpg	https://xeno-canto.org/sounds/uploaded/ISEVSYKZZW/XC860740-19-2024-01-01_Hirondelle-isabelline.mp3	Martins	Small	Rocky	['Brown', 'White']
Rock Pratincole	Glareola nuchalis	Withalssprinkaanvoël	https://birda.twic.pics/species/b7a9ac29-9aa2-496a-b74f-7419df6e5123/reference_images/Temmincks_Courser.jpg	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC958821-rock-pratincole-%28call%29-Mayukuyuku%2CKafueNP%2CZAMBIA_20250101_185849.mp3	Pratincoles	Medium	Rocky	['Brown', 'Cream', 'Black']	Rock Pratincole	Glareola nuchalis	Withalssprinkaanvoël	https://birda.twic.pics/species/b7a9ac29-9aa2-496a-b74f-7419df6e5123/reference_images/Temmincks_Courser.jpg	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC958821-rock-pratincole-%28call%29-Mayukuyuku%2CKafueNP%2CZAMBIA_20250101_185849.mp3	Pratincoles	Medium	Rocky	['Brown', 'Cream', 'Black']
Rose-ringed Parakeet	Psittacula krameri	Ringnekparkiet	https://cdn.sabirds.app/roseate-tern/1_medium.webp	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/XC1072860-Ring-necked-Parakett-call-very-good-2026-01-13-Wamm-Farm,-Fujairah,-UAE_141_edited.mp3	Parakeets	Medium	Forest	['Green', 'Red', 'Blue']	Rose-ringed Parakeet	Psittacula krameri	Ringnekparkiet	https://cdn.sabirds.app/roseate-tern/1_medium.webp	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/XC1072860-Ring-necked-Parakett-call-very-good-2026-01-13-Wamm-Farm,-Fujairah,-UAE_141_edited.mp3	Parakeets	Medium	Forest	['Green', 'Red', 'Blue']
Roseate Tern	Sterna dougallii	Rooiborssterretjie	https://birda.twic.pics/species/4e91e57d-5bcc-4c51-86b8-ba04da7a4a43/reference_images/Roseate_Tern.jpg	https://xeno-canto.org/sounds/uploaded/BJAXFFKOML/XC1042803-Sterne-de-Dougall-13-juin.mp3	Terns	Medium	Marine	['White', 'Pink', 'Black']	Roseate Tern	Sterna dougallii	Rooiborssterretjie	https://birda.twic.pics/species/4e91e57d-5bcc-4c51-86b8-ba04da7a4a43/reference_images/Roseate_Tern.jpg	https://xeno-canto.org/sounds/uploaded/BJAXFFKOML/XC1042803-Sterne-de-Dougall-13-juin.mp3	Terns	Medium	Marine	['White', 'Pink', 'Black']
Rosy Starling	Pastor roseus	Rooiborspreeu	https://cdn.sabirds.app/rosy-faced-lovebird/1_medium.webp	https://xeno-canto.org/sounds/uploaded/OCDBHVRUCV/XC1010323-rosenstare_20250526_2.mp3	Starlings	Medium	Grassland	['Pink', 'Black', 'Iridescent', 'Blue']	Rosy Starling	Pastor roseus	Rooiborspreeu	https://cdn.sabirds.app/rosy-faced-lovebird/1_medium.webp	https://xeno-canto.org/sounds/uploaded/OCDBHVRUCV/XC1010323-rosenstare_20250526_2.mp3	Starlings	Medium	Grassland	['Pink', 'Black', 'Iridescent', 'Blue']
Rosy-faced Lovebird	Agapornis roseicollis	Rooiwangparkiet	https://birda.twic.pics/species/84fe136f-9839-4578-994e-5b608117d117/reference_images/Rosy-faced_Lovebird.jpg	https://xeno-canto.org/sounds/uploaded/OYXLQBTHRH/XC1059256-MixPre-1018_Agapornis-roseicollis_YB.mp3	Lovebirds	Medium	Fynbos	['Green', 'Pink', 'Blue']	Rosy-faced Lovebird	Agapornis roseicollis	Rooiwangparkiet	https://birda.twic.pics/species/84fe136f-9839-4578-994e-5b608117d117/reference_images/Rosy-faced_Lovebird.jpg	https://xeno-canto.org/sounds/uploaded/OYXLQBTHRH/XC1059256-MixPre-1018_Agapornis-roseicollis_YB.mp3	Lovebirds	Medium	Fynbos	['Green', 'Pink', 'Blue']
Rosy-throated Longclaw	Macronyx ameliae	Rooskeelkalkoentjie	https://cdn.sabirds.app/rudds-apalis/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC958780-rosy-throated-longclaw-%28song%29-liuwaplainNP%2CZAMBIA_20241230_064859.mp3	Longclaws	Small	Grassland	['Brown', 'Pink', 'Yellow']	Rosy-throated Longclaw	Macronyx ameliae	Rooskeelkalkoentjie	https://cdn.sabirds.app/rudds-apalis/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC958780-rosy-throated-longclaw-%28song%29-liuwaplainNP%2CZAMBIA_20241230_064859.mp3	Longclaws	Small	Grassland	['Brown', 'Pink', 'Yellow']
Rudd's Apalis	Apalis ruddi	Ruddse Kleinjantjie	https://cdn.sabirds.app/rudds-lark/1_medium.webp	https://xeno-canto.org/sounds/uploaded/LWQXRZHFCU/XC972485-2025-02-02-11_21-Rudds-Apalis.mp3	Apalises	Tiny	Woodland	['Grey', 'Green', 'Yellow']	Rudd's Apalis	Apalis ruddi	Ruddse Kleinjantjie	https://cdn.sabirds.app/rudds-lark/1_medium.webp	https://xeno-canto.org/sounds/uploaded/LWQXRZHFCU/XC972485-2025-02-02-11_21-Rudds-Apalis.mp3	Apalises	Tiny	Woodland	['Grey', 'Green', 'Yellow']
Rudd's Lark	Heteromirafra ruddi	Drakensberglewerik	https://cdn.sabirds.app/ruddy-turnstone/1_medium.webp	https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC280352-LS_56724%20Rudd%27s%20Lark%20song%20A.mp3	Larks	Small	Grassland	['Brown', 'Buff']	Rudd's Lark	Heteromirafra ruddi	Drakensberglewerik	https://cdn.sabirds.app/ruddy-turnstone/1_medium.webp	https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC280352-LS_56724%20Rudd%27s%20Lark%20song%20A.mp3	Larks	Small	Grassland	['Brown', 'Buff']
Ruddy Turnstone	Arenaria interpres	Steenloper	https://cdn.sabirds.app/ruff/1_medium.webp	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/XC1068587-Ruddy-Turnstone-call-very-good-2025--12-27-Southend-Pier,-Essex,-England_78_edited.mp3	Sandpipers	Medium	Coastal	['Brown', 'Orange', 'White']	Ruddy Turnstone	Arenaria interpres	Steenloper	https://cdn.sabirds.app/ruff/1_medium.webp	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/XC1068587-Ruddy-Turnstone-call-very-good-2025--12-27-Southend-Pier,-Essex,-England_78_edited.mp3	Sandpipers	Medium	Coastal	['Brown', 'Orange', 'White']
Ruff	Calidris pugnax	Kemphaan	https://birda.twic.pics/species/0e0d8c2c-684e-4d0a-9c7d-6fe7a0b5fafe/reference_images/Ruff_-_Male.jpg	https://xeno-canto.org/sounds/uploaded/WBZVBDKAUE/XC821426-rufftac.mp3	Sandpipers	Medium	Wetland	['Brown', 'White', 'Buff']	Ruff	Calidris pugnax	Kemphaan	https://birda.twic.pics/species/0e0d8c2c-684e-4d0a-9c7d-6fe7a0b5fafe/reference_images/Ruff_-_Male.jpg	https://xeno-canto.org/sounds/uploaded/WBZVBDKAUE/XC821426-rufftac.mp3	Sandpipers	Medium	Wetland	['Brown', 'White', 'Buff']
Rufous-bellied Heron	Ardeola rufiventris	Rooipensreier	https://cdn.sabirds.app/rufous-breasted-sparrowhawk/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC791517-rufous-bellied-heron-%28call%29-ntandacottage%2CChingola%2CZAMBIA_20230402_101606_01.mp3	Herons	Medium	Wetland	['Grey', 'Brown']	Rufous-bellied Heron	Ardeola rufiventris	Rooipensreier	https://cdn.sabirds.app/rufous-breasted-sparrowhawk/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC791517-rufous-bellied-heron-%28call%29-ntandacottage%2CChingola%2CZAMBIA_20230402_101606_01.mp3	Herons	Medium	Wetland	['Grey', 'Brown']
Rufous-breasted Sparrowhawk	Accipiter rufiventris	Rooiborssperwer	https://cdn.sabirds.app/rufous-cheeked-nightjar/1_medium.webp	https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC279756-LS_55945%20Rufous-breasted%20Sparrowhawk%20Q%20flight%20call%20B.mp3	Hawks	Medium	Forest	['Orange', 'Brown', 'White', 'Black']	Rufous-breasted Sparrowhawk	Accipiter rufiventris	Rooiborssperwer	https://cdn.sabirds.app/rufous-cheeked-nightjar/1_medium.webp	https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC279756-LS_55945%20Rufous-breasted%20Sparrowhawk%20Q%20flight%20call%20B.mp3	Hawks	Medium	Forest	['Orange', 'Brown', 'White', 'Black']
Rufous-cheeked Nightjar	Caprimulgus rufigena	Rooiwangnaguil	https://cdn.sabirds.app/rufous-eared-warbler/1_medium.webp	https://xeno-canto.org/sounds/uploaded/EJIITXAJNY/XC892953-Rufous-cheeked-nightjar-231022-Rundu-1.mp3	Nightjars	Medium	Woodland	['Brown', 'Orange', 'Grey']	Rufous-cheeked Nightjar	Caprimulgus rufigena	Rooiwangnaguil	https://cdn.sabirds.app/rufous-eared-warbler/1_medium.webp	https://xeno-canto.org/sounds/uploaded/EJIITXAJNY/XC892953-Rufous-cheeked-nightjar-231022-Rundu-1.mp3	Nightjars	Medium	Woodland	['Brown', 'Orange', 'Grey']
Rufous-eared Warbler	Malcorus pectoralis	Rooioorlangstertjie	https://birda.twic.pics/species/9a17d785-2475-47bb-981d-2c56cd5724ea/reference_images/Rufous-eared_Warbler.jpg	https://xeno-canto.org/sounds/uploaded/JDCTKFMBKV/XC1006381-WarblerRufouseared_ZeekoegatRouxville_20250612_d.mp3	Warblers	Tiny	Fynbos	['Grey', 'Brown', 'Orange']	Rufous-eared Warbler	Malcorus pectoralis	Rooioorlangstertjie	https://birda.twic.pics/species/9a17d785-2475-47bb-981d-2c56cd5724ea/reference_images/Rufous-eared_Warbler.jpg	https://xeno-canto.org/sounds/uploaded/JDCTKFMBKV/XC1006381-WarblerRufouseared_ZeekoegatRouxville_20250612_d.mp3	Warblers	Tiny	Fynbos	['Grey', 'Brown', 'Orange']
Rufous-naped Lark	Mirafra africana	Rooineklewerik	https://birda.twic.pics/species/dd3619b4-de04-4b5a-ba31-ba016f4f4632/reference_images/Sabota_Lark.jpg	#N/A	Larks	Small	Grassland	['Brown', 'Buff', 'Orange']	Rufous-naped Lark	Mirafra africana	Rooineklewerik	https://birda.twic.pics/species/dd3619b4-de04-4b5a-ba31-ba016f4f4632/reference_images/Sabota_Lark.jpg	#N/A	Larks	Small	Grassland	['Brown', 'Buff', 'Orange']
Rufous-tailed Scrub Robin	Cercotrichas galactotes	Swartrugtinktinkie	https://birda.twic.pics/species/0761f204-bcfe-46b0-b2da-738c945e5e9e/reference_images/Rufous-tailed_Scrub_Robin.jpg	https://xeno-canto.org/sounds/uploaded/YPDXKAZUZN/XC1071515-Agrobate-roux-cris-08042025---Al-Abraq---Koweit.mp3	Scrub-Robins	Small	Fynbos	['Orange', 'Brown', 'White']	Rufous-tailed Scrub Robin	Cercotrichas galactotes	Swartrugtinktinkie	https://birda.twic.pics/species/0761f204-bcfe-46b0-b2da-738c945e5e9e/reference_images/Rufous-tailed_Scrub_Robin.jpg	https://xeno-canto.org/sounds/uploaded/YPDXKAZUZN/XC1071515-Agrobate-roux-cris-08042025---Al-Abraq---Koweit.mp3	Scrub-Robins	Small	Fynbos	['Orange', 'Brown', 'White']
Rufous-winged Cisticola	Cisticola galactotes	Swartrugtinktinkie	https://inaturalist-open-data.s3.amazonaws.com/photos/782498/medium.jpg	https://xeno-canto.org/sounds/uploaded/CQARALZBNN/XC957276-240305_1543-Rufous-w-Cisticola-A.mp3	Cisticolas	Tiny	Wetland	['Orange', 'Brown', 'Buff', 'White']	Rufous-winged Cisticola	Cisticola galactotes	Swartrugtinktinkie	https://inaturalist-open-data.s3.amazonaws.com/photos/782498/medium.jpg	https://xeno-canto.org/sounds/uploaded/CQARALZBNN/XC957276-240305_1543-Rufous-w-Cisticola-A.mp3	Cisticolas	Tiny	Wetland	['Orange', 'Brown', 'Buff', 'White']
Rüppell's Vulture	Gyps rueppelli	Rüppellse Aasvoël	https://birda.twic.pics/species/579106ae-8427-463c-84b0-47d4ca09885d/reference_images/Ruppells_Vulture.jpg	https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC277870-Ruepell%27s%20Vulture2014-12-17-4.mp3	Vultures	Very Large	Grassland	['Brown', 'White', 'Black']	Rüppell's Vulture	Gyps rueppelli	Rüppellse Aasvoël	https://birda.twic.pics/species/579106ae-8427-463c-84b0-47d4ca09885d/reference_images/Ruppells_Vulture.jpg	https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC277870-Ruepell%27s%20Vulture2014-12-17-4.mp3	Vultures	Very Large	Grassland	['Brown', 'White', 'Black']
Sabine's Gull	Xema sabini	Mikstertmeeu	https://birda.twic.pics/species/b26c0adf-46c7-4691-9d26-46fa0bf22f32/reference_images/Sabines_Gull.jpg	https://xeno-canto.org/sounds/uploaded/TLPLNAINFU/XC933306-20240714_001-SABINEMÅKE-JANMAYEN-F2EM272-1-11-45.mp3	Gulls	Medium	Marine	['Grey', 'White', 'Black']	Sabine's Gull	Xema sabini	Mikstertmeeu	https://birda.twic.pics/species/b26c0adf-46c7-4691-9d26-46fa0bf22f32/reference_images/Sabines_Gull.jpg	https://xeno-canto.org/sounds/uploaded/TLPLNAINFU/XC933306-20240714_001-SABINEMÅKE-JANMAYEN-F2EM272-1-11-45.mp3	Gulls	Medium	Marine	['Grey', 'White', 'Black']
Sabota Lark	Calendulauda sabota	Sabotalewerik	https://birda.twic.pics/species/dd3619b4-de04-4b5a-ba31-ba016f4f4632/reference_images/Sabota_Lark.jpg	https://xeno-canto.org/sounds/uploaded/SJRAXPTEKH/XC520404-Sabota%20Lark.mp3	Larks	Small	Grassland	['Brown', 'White', 'Buff']	Sabota Lark	Calendulauda sabota	Sabotalewerik	https://birda.twic.pics/species/dd3619b4-de04-4b5a-ba31-ba016f4f4632/reference_images/Sabota_Lark.jpg	https://xeno-canto.org/sounds/uploaded/SJRAXPTEKH/XC520404-Sabota%20Lark.mp3	Larks	Small	Grassland	['Brown', 'White', 'Buff']
Saddle-billed Stork	Ephippiorhynchus senegalensis	Saalbekooievaar	https://birda.twic.pics/species/70e714b8-847f-4481-b9b5-4679e31618dc/reference_images/Saddle-billed_Stalk-_Male.jpg	no audio found	Storks	Very Large	Wetland	['Black', 'White', 'Red']	Saddle-billed Stork	Ephippiorhynchus senegalensis	Saalbekooievaar	https://birda.twic.pics/species/70e714b8-847f-4481-b9b5-4679e31618dc/reference_images/Saddle-billed_Stalk-_Male.jpg	no audio found	Storks	Very Large	Wetland	['Black', 'White', 'Red']
Salvin's Albatross	Thalassarche salvini	Salvinalbatros (-malmok)	https://birda.twic.pics/species/653870bd-1fb9-4df8-8d1a-9074cb7254e6/reference_images/Salvins_Albatross-_Flying.jpg	https://xeno-canto.org/sounds/uploaded/SEVIQQAKWM/XC502551-191013-004%20-%20Albatros%20de%20salvin%20-%20Call.mp3	Albatrosses	Very Large	Marine	['White', 'Black', 'Grey']	Salvin's Albatross	Thalassarche salvini	Salvinalbatros (-malmok)	https://birda.twic.pics/species/653870bd-1fb9-4df8-8d1a-9074cb7254e6/reference_images/Salvins_Albatross-_Flying.jpg	https://xeno-canto.org/sounds/uploaded/SEVIQQAKWM/XC502551-191013-004%20-%20Albatros%20de%20salvin%20-%20Call.mp3	Albatrosses	Very Large	Marine	['White', 'Black', 'Grey']
Salvin's Prion	Pachyptila salvini	Marionwalvisvoël	https://cdn.sabirds.app/sand-martin/1_medium.webp	no audio found	Prions	Medium	Marine	['Grey', 'Brown', 'White']	Salvin's Prion	Pachyptila salvini	Marionwalvisvoël	https://cdn.sabirds.app/sand-martin/1_medium.webp	no audio found	Prions	Medium	Marine	['Grey', 'Brown', 'White']
Sand Martin	Riparia riparia	Europese Oewerswael	https://birda.twic.pics/species/1b246593-13f8-4aa2-950d-3787c5a7892c/reference_images/Sand_Martin.jpg	https://xeno-canto.org/sounds/uploaded/LKSFUYYSUK/XC1001819-250526_3135-Backsvala.mp3	Martins	Tiny	Rivers	['Brown', 'White']	Sand Martin	Riparia riparia	Europese Oewerswael	https://birda.twic.pics/species/1b246593-13f8-4aa2-950d-3787c5a7892c/reference_images/Sand_Martin.jpg	https://xeno-canto.org/sounds/uploaded/LKSFUYYSUK/XC1001819-250526_3135-Backsvala.mp3	Martins	Tiny	Rivers	['Brown', 'White']
Sanderling	Calidris alba	Drietoonstrandloper	https://birda.twic.pics/species/330d81ce-ca55-4ee4-822b-4c66a5252df8/reference_images/Sanderling.jpg	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/XC1070179-Sanderling-flight-call-very-good-2026-01-02-Texel---De-Geul,-Noord-Holland,-Netherlands_91_edited.mp3	Sandpipers	Medium	Coastal	['Grey', 'White', 'Black']	Sanderling	Calidris alba	Drietoonstrandloper	https://birda.twic.pics/species/330d81ce-ca55-4ee4-822b-4c66a5252df8/reference_images/Sanderling.jpg	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/XC1070179-Sanderling-flight-call-very-good-2026-01-02-Texel---De-Geul,-Noord-Holland,-Netherlands_91_edited.mp3	Sandpipers	Medium	Coastal	['Grey', 'White', 'Black']
Sandwich Tern	Thalasseus sandvicensis	Grootsterretjie	https://birda.twic.pics/species/4240d659-fe25-454d-a351-803635b82271/reference_images/Sandwich_Tern_-_Summer.jpg	https://xeno-canto.org/sounds/uploaded/AMMGWAIZWI/XC479582-Mystery_7.mp3	Terns	Medium	Marine	['White', 'Black', 'Yellow']	Sandwich Tern	Thalasseus sandvicensis	Grootsterretjie	https://birda.twic.pics/species/4240d659-fe25-454d-a351-803635b82271/reference_images/Sandwich_Tern_-_Summer.jpg	https://xeno-canto.org/sounds/uploaded/AMMGWAIZWI/XC479582-Mystery_7.mp3	Terns	Medium	Marine	['White', 'Black', 'Yellow']
Scaly-feathered Finch	Sporopipes squamifrons	Baardmannetjie	https://cdn.sabirds.app/scaly-throated-honeyguide/1_medium.webp	https://xeno-canto.org/sounds/uploaded/GQMCPIVNXX/XC386630-Scaly-feathered%20Finch.mp3	Weavers	Tiny	Fynbos	['Brown', 'White', 'Pink']	Scaly-feathered Finch	Sporopipes squamifrons	Baardmannetjie	https://cdn.sabirds.app/scaly-throated-honeyguide/1_medium.webp	https://xeno-canto.org/sounds/uploaded/GQMCPIVNXX/XC386630-Scaly-feathered%20Finch.mp3	Weavers	Tiny	Fynbos	['Brown', 'White', 'Pink']
Scaly-throated Honeyguide	Indicator variegatus	Gevlekte Heuningwyser	https://cdn.sabirds.app/scarlet-chested-sunbird/1_medium.webp	https://xeno-canto.org/sounds/uploaded/YIKAQIVHQJ/XC976211-33697.-Scaly-throated-Honeyguide---Kiyanga,-Mitooma---25-FEB-2025---1.mp3	Honeyguides	Small	Woodland	['Brown', 'White']	Scaly-throated Honeyguide	Indicator variegatus	Gevlekte Heuningwyser	https://cdn.sabirds.app/scarlet-chested-sunbird/1_medium.webp	https://xeno-canto.org/sounds/uploaded/YIKAQIVHQJ/XC976211-33697.-Scaly-throated-Honeyguide---Kiyanga,-Mitooma---25-FEB-2025---1.mp3	Honeyguides	Small	Woodland	['Brown', 'White']
Scarlet-chested Sunbird	Chalcomitra senegalensis	Rooiborssuikerbekkie	https://birda.twic.pics/species/aac2f5dc-19bb-4441-9de8-85c4b7c392a8/reference_images/Scarlet-chested_Sunbird-_Male_.jpg	https://xeno-canto.org/sounds/uploaded/OHDVJMHMQE/XC775796-20230117-084104-_Scarlet-chested-Sunbird_Hyena-Dam_edited.mp3	Sunbirds	Tiny	Fynbos	['Black', 'Red']	Scarlet-chested Sunbird	Chalcomitra senegalensis	Rooiborssuikerbekkie	https://birda.twic.pics/species/aac2f5dc-19bb-4441-9de8-85c4b7c392a8/reference_images/Scarlet-chested_Sunbird-_Male_.jpg	https://xeno-canto.org/sounds/uploaded/OHDVJMHMQE/XC775796-20230117-084104-_Scarlet-chested-Sunbird_Hyena-Dam_edited.mp3	Sunbirds	Tiny	Fynbos	['Black', 'Red']
Sclater's Lark	Spizocorys sclateri	Namakwalewerik	https://cdn.sabirds.app/secretarybird/1_medium.webp	https://xeno-canto.org/sounds/uploaded/VROUALCTKG/XC395399-Sclater%27s%20Lark%20%28call%2C%20SA%2C%20Kenhardt%2C%20sep2017%2C%201%29.mp3	Larks	Small	Karoo	['Brown', 'Buff']	Sclater's Lark	Spizocorys sclateri	Namakwalewerik	https://cdn.sabirds.app/secretarybird/1_medium.webp	https://xeno-canto.org/sounds/uploaded/VROUALCTKG/XC395399-Sclater%27s%20Lark%20%28call%2C%20SA%2C%20Kenhardt%2C%20sep2017%2C%201%29.mp3	Larks	Small	Karoo	['Brown', 'Buff']
Secretarybird	Sagittarius serpentarius	Sekretarisvoël	https://birda.twic.pics/species/2488bc62-f91d-429b-8afa-f70c47c6dc54/reference_images/Secretarybird.jpg	https://xeno-canto.org/sounds/uploaded/JDCTKFMBKV/XC518394-200108_0496.MP3	Secretarybird	Very Large	Grassland	['Grey', 'Black', 'Red']	Secretarybird	Sagittarius serpentarius	Sekretarisvoël	https://birda.twic.pics/species/2488bc62-f91d-429b-8afa-f70c47c6dc54/reference_images/Secretarybird.jpg	https://xeno-canto.org/sounds/uploaded/JDCTKFMBKV/XC518394-200108_0496.MP3	Secretarybird	Very Large	Grassland	['Grey', 'Black', 'Red']
Sedge Warbler	Acrocephalus schoenobaenus	Europese Vleisanger	https://birda.twic.pics/species/faaebb30-3541-4d67-9928-a7061353f8f7/reference_images/Sedge_Warbler.jpg	https://xeno-canto.org/sounds/uploaded/WMHNJNGJCW/XC1072008-ACRSCH040919b.mp3	Reed-Warblers	Tiny	Wetland	['Brown', 'Buff']	Sedge Warbler	Acrocephalus schoenobaenus	Europese Vleisanger	https://birda.twic.pics/species/faaebb30-3541-4d67-9928-a7061353f8f7/reference_images/Sedge_Warbler.jpg	https://xeno-canto.org/sounds/uploaded/WMHNJNGJCW/XC1072008-ACRSCH040919b.mp3	Reed-Warblers	Tiny	Wetland	['Brown', 'Buff']
Senegal Coucal	Centropus senegalensis	Senegalvleiloerie	https://birda.twic.pics/species/bdd36066-8cc3-4b6b-82a7-18c0f6571f0b/reference_images/Senegal_Coucal.jpg	https://xeno-canto.org/sounds/uploaded/OYXLQBTHRH/XC1059243-MixPre-1002_Tricholaema-leucomelas_YB.mp3	Coucals	Medium	Fynbos	['Brown', 'Black', 'Buff']	Senegal Coucal	Centropus senegalensis	Senegalvleiloerie	https://birda.twic.pics/species/bdd36066-8cc3-4b6b-82a7-18c0f6571f0b/reference_images/Senegal_Coucal.jpg	https://xeno-canto.org/sounds/uploaded/OYXLQBTHRH/XC1059243-MixPre-1002_Tricholaema-leucomelas_YB.mp3	Coucals	Medium	Fynbos	['Brown', 'Black', 'Buff']
Senegal Lapwing	Vanellus lugubris	Kleinswartvlerkkiewiet	https://birda.twic.pics/species/3189d292-1576-4631-99e9-a01455b7d662/reference_images/Black-winged_Lapwing.jpg	https://xeno-canto.org/sounds/uploaded/THHNKSHUMO/XC1052419-022-Vanneau-terne-260123_0264.mp3	Lapwings	Medium	Grassland	['Brown', 'White', 'Black']	Senegal Lapwing	Vanellus lugubris	Kleinswartvlerkkiewiet	https://birda.twic.pics/species/3189d292-1576-4631-99e9-a01455b7d662/reference_images/Black-winged_Lapwing.jpg	https://xeno-canto.org/sounds/uploaded/THHNKSHUMO/XC1052419-022-Vanneau-terne-260123_0264.mp3	Lapwings	Medium	Grassland	['Brown', 'White', 'Black']
Sentinel Rock Thrush	Monticola explorator	Langtoonkliplyster	https://cdn.sabirds.app/shaft-tailed-whydah/1_medium.webp	https://xeno-canto.org/sounds/uploaded/SGLTZLDXYI/XC603801-Sentinel%20Rock%20Thrush%20Quiz%201.mp3	Thrushes	Small	Grassland	['Blue', 'Orange']	Sentinel Rock Thrush	Monticola explorator	Langtoonkliplyster	https://cdn.sabirds.app/shaft-tailed-whydah/1_medium.webp	https://xeno-canto.org/sounds/uploaded/SGLTZLDXYI/XC603801-Sentinel%20Rock%20Thrush%20Quiz%201.mp3	Thrushes	Small	Grassland	['Blue', 'Orange']
Shaft-tailed Whydah	Vidua regia	Pylstertrooibekkie	https://birda.twic.pics/species/c48a0f3f-78aa-4ea3-bce2-24ac511a21a7/reference_images/Shaft-tailed_Whydah-_Male.jpg	https://xeno-canto.org/sounds/uploaded/HMBDEWEZVS/XC622267-5%20Good%20ST%20Whydah.mp3	Whydahs	Tiny	Fynbos	['Brown', 'Buff', 'Black']	Shaft-tailed Whydah	Vidua regia	Pylstertrooibekkie	https://birda.twic.pics/species/c48a0f3f-78aa-4ea3-bce2-24ac511a21a7/reference_images/Shaft-tailed_Whydah-_Male.jpg	https://xeno-canto.org/sounds/uploaded/HMBDEWEZVS/XC622267-5%20Good%20ST%20Whydah.mp3	Whydahs	Tiny	Fynbos	['Brown', 'Buff', 'Black']
Shelley's Francolin	Scleroptila shelleyi	Laeveldpatrys	https://birda.twic.pics/species/a93f8a7b-233d-48a2-b2fb-5ee67d48e274/reference_images/Shelleys_Francolin.jpg	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC963285-shelley-s-francolin-%28song%29-ChimanimaniNP%2CZIM_20240927_131309.mp3	Francolins	Large	Woodland	['Brown', 'White', 'Black']	Shelley's Francolin	Scleroptila shelleyi	Laeveldpatrys	https://birda.twic.pics/species/a93f8a7b-233d-48a2-b2fb-5ee67d48e274/reference_images/Shelleys_Francolin.jpg	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC963285-shelley-s-francolin-%28song%29-ChimanimaniNP%2CZIM_20240927_131309.mp3	Francolins	Large	Woodland	['Brown', 'White', 'Black']
Shikra	Accipiter badius	Gebande Sperwer	https://birda.twic.pics/species/d67f5098-ac71-4ef0-ad8f-d02968e79615/reference_images/Shikra.jpg	#N/A	Hawks	Medium	Fynbos	['Grey', 'White', 'Orange']	Shikra	Accipiter badius	Gebande Sperwer	https://birda.twic.pics/species/d67f5098-ac71-4ef0-ad8f-d02968e79615/reference_images/Shikra.jpg	#N/A	Hawks	Medium	Fynbos	['Grey', 'White', 'Orange']
Short-clawed Lark	Certhilauda chuana	Kortkloulewerik	https://cdn.sabirds.app/short-tailed-pipit/1_medium.webp	https://xeno-canto.org/sounds/uploaded/XMKSHDXAIR/XC675383-Cerchu%20Modikana%20Agitated%20Song.mp3	Larks	Small	Grassland	['Brown', 'Buff']	Short-clawed Lark	Certhilauda chuana	Kortkloulewerik	https://cdn.sabirds.app/short-tailed-pipit/1_medium.webp	https://xeno-canto.org/sounds/uploaded/XMKSHDXAIR/XC675383-Cerchu%20Modikana%20Agitated%20Song.mp3	Larks	Small	Grassland	['Brown', 'Buff']
