common_name,scientific_name
Soft-plumaged Petrel,Pterodroma mollis
Sombre Greenbul,Andropadus importunus
Sooty Albatross,Phoebetria fusca
Sooty Falcon,Falco concolor
Sooty Gull,Ichthyaetus hemprichii
Sooty Shearwater,Ardenna grisea
Sooty Tern,Onychoprion fuscatus
South African Cliff Swallow,Petrochelidon spilodera
South African Shelduck,Tadorna cana
South Polar Skua,Stercorarius maccormicki
Southern Bald Ibis,Geronticus calvus
Southern Banded Snake Eagle,Circaetus fasciolatus
Southern Black Flycatcher,Melaenornis pammelaina
Southern Black Korhaan,Afrotis afra
Southern Black Tit,Melaniparus niger
Southern Boubou,Laniarius ferrugineus
Southern Brown-throated Weaver,Ploceus xanthopterus
Southern Carmine Bee-eater,Merops nubicoides
Southern Double-collared Sunbird,Cinnyris chalybeus
Southern Fiscal,Lanius collaris
Southern Fulmar,Fulmarus glacialoides
Southern Giant Petrel,Macronectes giganteus
Southern Grey-headed Sparrow,Passer diffusus
Southern Ground- Hornbill,Bucorvus leadbeateri
Southern Hyliota,Hyliota australis
Southern Masked Weaver,Ploceus velatus
Southern Pied Babbler,Turdoides bicolor
Southern Pochard,Netta erythrophthalma
Southern Red Bishop,Euplectes orix
Southern Red-billed Hornbill,Tockus rufirostris
Southern Rockhopper Penguin,Eudyptes chrysocome
Southern Royal Albatross,Diomedea epomophora
Southern Tchagra,Tchagra tchagra
Southern White-crowned Shrike,Eurocephalus anguitimens
Southern White-faced Owl,Ptilopsis granti
Southern Yellow White-eye,Zosterops anderssoni
Southern Yellow-billed Hornbill,Tockus leucomelas
Speckled Mousebird,Colius striatus
Speckled Pigeon,Columba guinea
Spectacled Petrel,Procellaria conspicillata
Spectacled Weaver,Ploceus ocularis
Spike-heeled Lark,Chersomanes albofasciata
Spotted Crake,Porzana porzana
Spotted Eagle- Owl,Bubo africanus
Spotted Flycatcher,Muscicapa striata
Spotted Ground Thrush,Geokichla guttata
Spotted Redshank,Tringa erythropus
Spotted Thick-knee,Burhinus capensis
Spur-winged Goose,Plectropterus gambensis
Spur-winged Lapwing,Vanellus spinosus
Squacco Heron,Ardeola ralloides
Square-tailed Drongo,Dicrurus ludwigii
Square-tailed Nightjar,Caprimulgus fossii
Stark's Lark,Spizocorys starki
Steppe Eagle,Aquila nipalensis
Stierling's Wren- Warbler,Calamonastes stierlingi
Streaked Shearwater,Calonectris leucomelas
Streaky-breasted Flufftail,Sarothrura boehmi
Streaky-headed Seedeater,Crithagra gularis
Striped Crake,Aenigmatolimnas marginalis
Striped Flufftail,Sarothrura affinis
Striped Kingfisher,Halcyon chelicuti
Striped Pipit,Anthus lineiventris
Subantarctic Shearwater,Puffinus elegans
Subantarctic Skua,Stercorarius antarcticus
Swainson's Spurfowl,Pternistis swainsonii
Swallow-tailed Bee-eater,Merops hirundineus
Swamp Nightjar,Caprimulgus natalensis
Swee Waxbill,Coccopygia melanotis
Swift Tern,Thalasseus bergii
Tahiti Petrel,Pseudobulweria rostrata
Taita Falcon,Falco fasciinucha
Tambourine Dove,Turtur tympanistria
Tawny Eagle,Aquila rapax
Tawny-flanked Prinia,Prinia subflava
Temminck's Courser,Cursorius temminckii
Temminck's Stint,Calidris temminckii
Terek Sandpiper,Xenus cinereus
Terrestrial Brownbul,Phyllastrephus terrestris
Thick-billed Cuckoo,Pachycoccyx audeberti
Thick-billed Weaver,Amblyospiza albifrons
Three-banded Courser,Rhinoptilus cinctus
Three-banded Plover,Charadrius tricollaris
Thrush Nightingale,Luscinia luscinia
Tinkling Cisticola,Cisticola rufilatus
Tractrac Chat,Emarginata tractrac
Tree Pipit,Anthus trivialis
Tristan Albatross,Diomedea dabbenena
Tropical Boubou,Laniarius major
Tropical Shearwater,Puffinus bailloni
Trumpeter Hornbill,Bycanistes bucinator
Upcher's Warbler,Hippolais languida
Upland Sandpiper,Bartramia longicauda
Variable Sunbird,Cinnyris venustus
Verreaux's Eagle,Aquila verreauxii
Verreaux's Eagle- Owl,Ketupa lactea
Victorin's Warbler,Cryptillas victorini
Village Indigobird,Vidua chalybeata
Village Weaver,Ploceus cucullatus
Violet-backed Starling,Cinnyricinclus leucogaster
Violet-eared Waxbill,Granatina granatina
Wahlberg's Eagle,Hieraaetus wahlbergi
Wailing Cisticola,Cisticola lais
Wandering Albatross,Diomedea exulans
Water Thick-knee,Burhinus vermiculatus
Wattled Crane,Grus carunculata
Wattled Starling,Creatophora cinerea
Wedge-tailed Shearwater,Ardenna pacifica
Western Barn Owl,Tyto alba
Western Cattle Egret,Bubulcus ibis
Western House Martin,Delichon urbicum
Western Marsh Harrier,Circus aeruginosus
Western Yellow Wagtail,Motacilla flava
Whinchat,Saxicola rubetra
Whiskered Tern,Chlidonias hybrida
White Stork,Ciconia ciconia
White Tern,Gygis alba
White Wagtail,Motacilla alba
White-backed Duck,Thalassornis leuconotus
White-backed Mousebird,Colius colius
White-backed Night Heron,Gorsachius leuconotus
White-backed Vulture,Gyps africanus
White-bellied Korhaan,Eupodotis senegalensis
White-bellied Storm Petrel,Fregetta grallaria
White-bellied Sunbird,Cinnyris talatala
White-breasted Cormorant,Phalacrocorax lucidus
White-breasted Cuckooshrike,Ceblepyris pectoralis
White-browed Robin-chat,Cossypha heuglini
White-browed Scrub Robin,Cercotrichas leucophrys
White-browed Sparrow-weaver,Plocepasser mahali
White-cheeked Tern,Sterna repressa
White-chinned Petrel,Procellaria aequinoctialis
White-crested Helmet-shrike,Prionops plumatus
White-crowned Lapwing,Vanellus albiceps
White-eared Barbet,Stactolaema leucotis
White-faced Storm Petrel,Pelagodroma marina
White-faced Whistling Duck,Dendrocygna viduata
White-fronted Bee-eater,Merops bullockoides
White-fronted Plover,Charadrius marginatus
White-headed Petrel,Pterodroma lessonii
White-headed Vulture,Trigonoceps occipitalis
White-necked Raven,Corvus albicollis
White-rumped Sandpiper,Calidris fuscicollis
White-rumped Swift,Apus caffer
White-starred Robin,Pogonocichla stellata
White-tailed Tropicbird,Phaethon lepturus
White-throated Bee-eater,Merops albicollis
White-throated Canary,Crithagra albogularis
White-throated Robin,Irania gutturalis
White-throated Robin-chat,Cossypha humeralis
White-throated Swallow,Hirundo albigularis
White-winged Flufftail,Sarothrura ayresi
White-winged Tern,Chlidonias leucopterus
White-winged Widowbird,Euplectes albonotatus
Willow Warbler,Phylloscopus trochilus
Wilson's Phalarope,Phalaropus tricolor
Wilson's Storm Petrel,Oceanites oceanicus
Wing-snapping Cisticola,Cisticola ayresii
Wire-tailed Swallow,Hirundo smithii
Wood Sandpiper,Tringa glareola
Wood Warbler,Phylloscopus sibilatrix
Woodchat Shrike,Lanius senator
Woodland Kingfisher,Halcyon senegalensis
Woodwards' Batis,Batis fratrum
Yellow Bishop,Euplectes capensis
Yellow Canary,Crithagra flaviventris
Yellow Weaver,Ploceus subaureus
Yellow-bellied Eremomela,Eremomela icteropygialis
Yellow-bellied Greenbul,Chlorocichla flaviventris
Yellow-billed Duck,Anas undulata
Yellow-billed Egret,Ardea intermedia
Yellow-billed Kite,Milvus aegyptius
Yellow-billed Oxpecker,Buphagus africanus
Yellow-billed Stork,Mycteria ibis
Yellow-breasted Apalis,Apalis flavida
Yellow-breasted Pipit,Anthus chloris
Yellow-crowned Bishop,Euplectes afer
Yellow-fronted Canary,Crithagra mozambica
Yellow-fronted Tinkerbird,Pogoniulus chrysoconus
Yellow-rumped Tinkerbird,Pogoniulus bilineatus
Yellow-streaked Greenbul,Phyllastrephus flavostriatus
Yellow-throated Longclaw,Macronyx croceus
Yellow-throated Petronia,Gymnoris superciliaris
Yellow-throated Sandgrouse,Pterocles gutturalis
Yellow-throated Woodland Warbler,Phylloscopus ruficapilla
Zitting Cisticola,Cisticola juncidis
