common_name,scientific_name
Fan-tailed Widowbird,Euplectes axillaris
White-winged Widowbird,Euplectes albonotatus
Long-tailed Widowbird,Euplectes progne
Spectacled Weaver,Ploceus ocularis
Cape Weaver,Ploceus capensis
African Golden Weaver,Ploceus subaureus
Holub's Golden Weaver,Ploceus xanthops
Southern Brown-throated Weaver,Ploceus xanthopterus
Lesser Masked Weaver,Ploceus intermedius
Southern Masked Weaver,Ploceus velatus
Village Weaver,Ploceus cucullatus
Dark-backed Weaver,Ploceus bicolor
Southern Red-headed Weaver,Anaplectes rubriceps
Red-billed Firefinch,Lagonosticta senegala
Jameson's Firefinch,Lagonosticta rhodopareia
African Firefinch,Lagonosticta rubricata
Orange-winged Pytilia,Pytilia afra
Green-winged Pytilia,Pytilia melba
Pink-throated Twinspot,Hypargos margaritatus
Red-throated Twinspot,Hypargos niveoguttatus
Violet-eared Waxbill,Granatina granatina
Blue-breasted Cordon-bleu,Uraeginthus angolensis
Black-tailed Waxbill,Glaucestrilda perreini
Common Waxbill,Estrilda astrild
Black-faced Waxbill,Brunhilda erythronotos
Green Twinspot,Mandingoa nitidula
Swee Waxbill,Coccopygia melanotis
Red-headed Finch,Amadina erythrocephala
Cut-throat Finch,Amadina fasciata
African Quailfinch,Ortygospiza atricollis
Zebra Waxbill,Amandava subflava
Bronze Mannikin,Spermestes cucullata
Magpie Mannikin,Spermestes fringilloides
Pin-tailed Whydah,Vidua macroura
Long-tailed Paradise-whydah,Vidua paradisaea
Shaft-tailed Whydah,Vidua regia
Dusky Indigobird,Vidua funerea
Village Indigobird,Vidua chalybeata
Purple Indigobird,Vidua purpurascens
Cuckoo-finch,Anomalospiza imberbis
Great Sparrow,Passer motitensis
Cape Sparrow,Passer melanurus
Southern Grey-headed Sparrow,Passer diffusus
Yellow-throated Bush-sparrow,Gymnoris superciliaris
Short-tailed Pipit,Anthus brachyurus
Bush Pipit,Anthus caffer
Tree Pipit,Anthus trivialis
Mountain Pipit,Anthus hoeschi
Yellow-tufted Pipit,Anthus crenatus
Striped Pipit,Anthus lineiventris
Richard's Pipit,Anthus richardi
Plain-backed Pipit,Anthus leucophrys
African Pipit,Anthus cinnamomeus
Buffy Pipit,Anthus vaalensis
Long-billed Pipit,Anthus similis
Cape Longclaw,Macronyx capensis
Yellow-throated Longclaw,Macronyx croceus
Rosy-throated Longclaw,Macronyx ameliae
Yellow-breasted Pipit,Hemimacronyx chloris
Mountain Wagtail,Motacilla clara
Cape Wagtail,Motacilla capensis
Western Yellow Wagtail,Motacilla flava
African Pied Wagtail,Motacilla aguimp
Forest Canary,Crithagra scotops
Black-throated Canary,Crithagra atrogularis
Lemon-breasted Canary,Crithagra citrinipectus
Yellow-fronted Canary,Crithagra mozambica
Yellow Canary,Crithagra flaviventris
Brimstone Canary,Crithagra sulphurata
White-throated Canary,Crithagra albogularis
Streaky-headed Seedeater,Crithagra gularis
Black-eared Seedeater,Crithagra mennelli
Protea Canary,Crithagra leucoptera
Cape Siskin,Crithagra totta
Drakensberg Siskin,Crithagra symonsi
Black-headed Canary,Serinus alario
Cape Canary,Serinus canicollis
Golden-breasted Bunting,Emberiza flaviventris
Cape Bunting,Emberiza capensis
Lark-like Bunting,Emberiza impetuani
Cinnamon-breasted Bunting,Emberiza tahapisi
